country,company,ms.2012,ms.2013,ms.2014,ms.2015,ms.2016,ms.2017
China,Midea Group Co Ltd,34.7,35,35.7,37.4,40.3,42.1
China,Guangdong Galanz Group Co Ltd,47,46.2,45.3,44.4,42.9,39.9
China,Haier Group,7.6,11.2,12.2,12.7,12.3,11.7
China,Panasonic Corp,4.3,3.3,2.6,2,1.3,1.1
China,LG Corp,1.7,1.5,1.5,1.1,0.7,0.4
China,Whirlpool Corp,0,0,0.3,0.3,0.3,0.3
China,Sanyo Electric Co Ltd,0,0,0,0,0,0
China,Others,4.6,2.8,2.4,2.1,2.2,4.5
USA,Haier Group,1.2,1.8,1.5,1.3,22.3,20.5
USA,Hon Hai Precision Industry Co Ltd,0,0,0,0,16.7,17
USA,Panasonic Corp,12.3,12.8,12.7,12.6,13,13
USA,Whirlpool Corp,11.5,11.7,11.6,11.5,11.8,12.2
USA,LG Corp,9.7,9.7,10.3,10.5,10.8,11.2
USA,Samsung Corp,4.5,4.6,4.5,4.6,4.8,5
USA,Emerson Electric Co,4.2,4.1,3.9,3.8,3.6,3.6
USA,Electrolux AB,0.6,0.6,0.6,0.6,0.6,0.6
USA,General Electric Co (GE),22.4,22.6,22.3,22.5,0,0
USA,Sanyo Electric Co Ltd,0,0,0,0,0,0
USA,Sharp Corp,17.9,17.5,17.5,17.4,0,0
USA,Private Label,7.3,7.1,6.7,5.9,5.5,5.3
USA,Others,8.3,7.5,8.4,9.3,10.8,11.5
